label,gen,avgfitness,fixedloci
INBRED,100,0.000072,18
INBRED,200,0.000003,24
INBRED,300,0.000005,19
INBRED,400,0.000002,25
INBRED,500,0.000000,36
INBRED,600,0.000000,26
INBRED,700,0.000001,22
INBRED,800,0.000000,27
INBRED,900,0.000000,26
INBRED,1000,0.000000,33
INBRED,1100,0.000001,22
INBRED,1200,0.000000,27
INBRED,1300,0.000000,31
INBRED,1400,0.000004,24
INBRED,1500,0.000000,25
INBRED,1600,0.000000,29
INBRED,1700,0.000000,31
INBRED,1800,0.000004,17
INBRED,1900,0.000004,17
INBRED,2000,0.000001,27
INBRED,2100,0.000001,22
INBRED,2200,0.000000,30
INBRED,2300,0.000000,27
INBRED,2400,0.000000,28
INBRED,2500,0.000005,18
INBRED,2600,0.000001,26
INBRED,2700,0.000000,27
INBRED,2800,0.000000,27
INBRED,2900,0.000000,34
INBRED,3000,0.000000,23
INBRED,3100,0.000000,25
INBRED,3200,0.000000,31
INBRED,3300,0.000000,30
INBRED,3400,0.000002,24
INBRED,3500,0.000000,29
INBRED,3600,0.000000,29
INBRED,3700,0.000002,21
INBRED,3800,0.000001,25
INBRED,3900,0.000000,31
INBRED,4000,0.000000,23
INBRED,4100,0.000009,18
INBRED,4200,0.000001,23
INBRED,4300,0.000000,23
INBRED,4400,0.000000,22
INBRED,4500,0.000002,22
INBRED,4600,0.000000,22
INBRED,4700,0.000001,28
INBRED,4800,0.000001,21
INBRED,4900,0.000001,24
INBRED,5000,0.000004,23
OUTBRED,100,0.007930,0
OUTBRED,200,0.002317,0
OUTBRED,300,0.000619,0
OUTBRED,400,0.000685,0
OUTBRED,500,0.000412,0
OUTBRED,600,0.000359,0
OUTBRED,700,0.000530,0
OUTBRED,800,0.000545,0
OUTBRED,900,0.000598,0
OUTBRED,1000,0.000419,0
OUTBRED,1100,0.000356,0
OUTBRED,1200,0.000152,0
OUTBRED,1300,0.000417,0
OUTBRED,1400,0.000428,0
OUTBRED,1500,0.000580,0
OUTBRED,1600,0.000261,0
OUTBRED,1700,0.000311,0
OUTBRED,1800,0.000145,0
OUTBRED,1900,0.000180,0
OUTBRED,2000,0.000260,0
OUTBRED,2100,0.000220,0
OUTBRED,2200,0.000279,0
OUTBRED,2300,0.000283,0
OUTBRED,2400,0.000235,0
OUTBRED,2500,0.000262,0
OUTBRED,2600,0.000426,0
OUTBRED,2700,0.000548,0
OUTBRED,2800,0.000431,0
OUTBRED,2900,0.000302,0
OUTBRED,3000,0.000267,0
OUTBRED,3100,0.000392,0
OUTBRED,3200,0.000365,0
OUTBRED,3300,0.000192,0
OUTBRED,3400,0.000202,0
OUTBRED,3500,0.000333,0
OUTBRED,3600,0.000372,0
OUTBRED,3700,0.000251,0
OUTBRED,3800,0.000347,0
OUTBRED,3900,0.000222,0
OUTBRED,4000,0.000232,0
OUTBRED,4100,0.000452,0
OUTBRED,4200,0.000611,0
OUTBRED,4300,0.000828,0
OUTBRED,4400,0.000431,0
OUTBRED,4500,0.000261,0
OUTBRED,4600,0.000226,0
OUTBRED,4700,0.000268,0
OUTBRED,4800,0.000221,0
OUTBRED,4900,0.000413,0
OUTBRED,5000,0.000396,0
MIXED,100,0.003192,0
MIXED,200,0.001472,0
MIXED,300,0.000598,0
MIXED,400,0.000422,0
MIXED,500,0.000180,0
MIXED,600,0.000243,0
MIXED,700,0.000314,0
MIXED,800,0.000353,0
MIXED,900,0.000276,0
MIXED,1000,0.000220,0
MIXED,1100,0.000148,0
MIXED,1200,0.000300,0
MIXED,1300,0.000331,0
MIXED,1400,0.000437,0
MIXED,1500,0.000429,0
MIXED,1600,0.000331,0
MIXED,1700,0.000413,0
MIXED,1800,0.000299,0
MIXED,1900,0.000209,0
MIXED,2000,0.000420,0
MIXED,2100,0.000420,0
MIXED,2200,0.000348,0
MIXED,2300,0.000312,0
MIXED,2400,0.000194,0
MIXED,2500,0.000254,0
MIXED,2600,0.000308,0
MIXED,2700,0.000250,0
MIXED,2800,0.000271,0
MIXED,2900,0.000370,0
MIXED,3000,0.000259,0
MIXED,3100,0.000212,0
MIXED,3200,0.000233,0
MIXED,3300,0.000255,0
MIXED,3400,0.000306,0
MIXED,3500,0.000455,0
MIXED,3600,0.000251,0
MIXED,3700,0.000252,0
MIXED,3800,0.000217,0
MIXED,3900,0.000325,0
MIXED,4000,0.000315,0
MIXED,4100,0.000154,0
MIXED,4200,0.000148,0
MIXED,4300,0.000287,0
MIXED,4400,0.000237,0
MIXED,4500,0.000506,0
MIXED,4600,0.000267,0
MIXED,4700,0.000225,0
MIXED,4800,0.000305,0
MIXED,4900,0.000329,0
MIXED,5000,0.000271,0
